X,Y,Z
0.0022184909,0.0042777007,-0.0002636529
-0.0006960717,-0.0000801543,0.0000480086
-0.0012393111,-0.0027105927,0.0000107002
0.0032625830,0.0006626207,-0.0000117634
-0.0099284693,-0.0036817526,0.0001184524
0.0011843066,0.0028670669,-0.0001656511
0.0080037673,-0.0007259507,-0.0001560103
-0.0095102901,0.0021172750,0.0002625100
-0.0002332108,-0.0017251350,-0.0001961447
-0.0013374645,-0.0028111269,-0.0000805269
0.0022801894,0.0053256885,-0.0002095161
0.0066119280,-0.0034605138,0.0000785285
-0.0002339307,-0.0017261940,0.0001975359
-0.0095194256,0.0021146866,-0.0002695323
0.0066159108,-0.0034524839,-0.0000714501
0.0022891575,0.0053235657,0.0002048096
-0.0013497474,-0.0028119752,0.0000808723
0.0011760115,0.0028699071,0.0001656105
0.0080055310,-0.0007273156,0.0001598839
0.0022178638,0.0042785639,0.0002630438
-0.0006927546,-0.0000794138,-0.0000467921
-0.0012397938,-0.0027169432,-0.0000133574
0.0032647426,0.0006720713,0.0000142033
-0.0099290094,-0.0036861133,-0.0001229378
-0.0000930641,0.0000385824,0.0000441101
-0.0000929408,0.0000385950,-0.0000441665
0.0001107156,-0.0001170778,-0.0000083344
0.0001108007,-0.0001170523,0.0000083691
0.0001185621,0.0000168853,-0.0000670215
-0.0000795394,-0.0000413042,0.0000680871
-0.0001119297,-0.0000429941,0.0000004946
-0.0000203434,0.0000169029,-0.0000430165
-0.0001151428,-0.0000006941,-0.0000447074
0.0000145339,-0.0000164896,-0.0000307438
0.0000590646,-0.0000319897,0.0000642111
0.0001703539,-0.0000363565,-0.0003728064
-0.0003234682,-0.0001460705,0.0003817796
-0.0001838639,-0.0002432162,0.0000642998
-0.0000867324,-0.0001841527,0.0000811537
-0.0000857157,-0.0001767854,-0.0001688419
0.0000628036,0.0000435660,-0.0000290793
0.0000437392,0.0000401868,-0.0000354369
0.0001303403,0.0000198097,0.0002071312
-0.0001009751,0.0002395417,-0.0002143428
0.0000377015,0.0001036806,-0.0000370840
0.0000238268,0.0001913634,-0.0000404174
0.0000420624,0.0001022799,0.0001000209
0.0000006701,-0.0000325485,0.0000208096
0.0000252770,-0.0000712005,0.0000163728
-0.0000214591,0.0002624225,-0.0002701147
0.0000972438,-0.0000772042,0.0001587182
0.0001851419,-0.0000728652,0.0001404739
-0.0000332992,0.0001169162,0.0000336622
0.0000358552,0.0000607476,-0.0000656852
0.0000651012,0.0000337850,-0.0001150997
-0.0000027791,0.0000333735,0.0000438603
0.0001174500,0.0000182469,0.0000681098
-0.0000797864,-0.0000414669,-0.0000675192
-0.0001120236,-0.0000431306,-0.0000005548
-0.0000203719,0.0000170072,0.0000428998
-0.0001150723,-0.0000006920,0.0000446878
0.0000145554,-0.0000164120,0.0000306493
0.0000590423,-0.0000320414,-0.0000642579
0.0001702844,-0.0000376060,0.0003752508
-0.0003237285,-0.0001463509,-0.0003815214
-0.0001837513,-0.0002432364,-0.0000644066
-0.0000868293,-0.0001841507,-0.0000811873
-0.0000857609,-0.0001767793,0.0001688323
0.0000627886,0.0000436377,0.0000290215
0.0000437860,0.0000402117,0.0000353741
0.0001290154,0.0000224815,-0.0002063574
-0.0001009228,0.0002392156,0.0002144173
0.0000378085,0.0001035798,0.0000370129
0.0000238896,0.0001913029,0.0000404068
0.0000420585,0.0001022627,-0.0001000174
0.0000006839,-0.0000325356,-0.0000207986
0.0000252704,-0.0000712072,-0.0000164003
-0.0000205918,0.0002615760,0.0002688845
0.0000969933,-0.0000770320,-0.0001589791
0.0001851212,-0.0000728383,-0.0001404734
-0.0000333009,0.0001169400,-0.0000336544
0.0000358454,0.0000607354,0.0000657106
0.0000651116,0.0000337820,0.0001151136
-0.0000027612,0.0000333662,-0.0000438336
