X,Y,Z
-0.0025295950,-0.0013992743,0.0000147494
0.0024653180,-0.0002017523,0.0000294031
0.0003446997,0.0008339677,-0.0000371247
-0.0006627641,-0.0000764180,0.0000074963
0.0037681239,0.0018275302,0.0000310255
-0.0011386228,-0.0016659068,0.0000094692
-0.0037923276,0.0009063310,0.0000233513
0.0033481936,-0.0011859631,-0.0001018639
-0.0000613191,0.0004004379,0.0000374031
0.0012255286,0.0014681666,-0.0000279625
-0.0008101403,-0.0020815179,0.0000424093
-0.0023803867,0.0009888485,0.0000535856
-0.0000613163,0.0004004470,-0.0000375769
0.0033481964,-0.0011859600,0.0001019258
-0.0023803622,0.0009888229,-0.0000535894
-0.0008101424,-0.0020815247,-0.0000424108
0.0012255356,0.0014681416,0.0000279994
-0.0011386206,-0.0016659154,-0.0000094858
-0.0037923102,0.0009063407,-0.0000233307
-0.0025295880,-0.0013992695,-0.0000144753
0.0024653199,-0.0002017360,-0.0000295177
0.0003446955,0.0008339638,0.0000372028
-0.0006627773,-0.0000764197,-0.0000075414
0.0037681034,0.0018275294,-0.0000311248
0.0000249007,-0.0000452943,-0.0000182214
0.0000248998,-0.0000452941,0.0000182187
-0.0000407073,0.0000337598,0.0000027867
-0.0000407081,0.0000337565,-0.0000028006
-0.0000502554,-0.0000272887,0.0000401774
0.0000470257,0.0000305975,-0.0000497152
0.0000364239,0.0000006910,-0.0000070490
0.0000439655,-0.0000104900,0.0000008086
0.0000442405,-0.0000060654,0.0000246476
-0.0000122696,-0.0000008584,0.0000080597
-0.0000191289,0.0000015490,-0.0000041809
-0.0000759643,0.0000093524,0.0001285654
0.0000924909,0.0000464599,-0.0001356025
0.0000536365,0.0000793930,-0.0000212971
0.0000335923,0.0000552065,-0.0000280858
0.0000262694,0.0000605753,0.0000582305
-0.0000223418,-0.0000133242,0.0000057869
-0.0000099557,-0.0000154106,0.0000143465
-0.0000339742,0.0000191954,-0.0000564400
0.0000272077,-0.0000542572,0.0000622607
-0.0000165279,-0.0000075558,0.0000104221
-0.0000211412,-0.0000613726,0.0000273783
-0.0000177138,-0.0000143427,-0.0000250867
-0.0000055436,0.0000106086,0.0000013061
-0.0000199733,0.0000171881,-0.0000214976
0.0000305210,-0.0000508641,0.0000525183
-0.0000330046,0.0000160898,-0.0000439342
-0.0000634595,0.0000089517,-0.0000403970
0.0000077256,-0.0000226989,-0.0000034641
-0.0000172194,-0.0000146816,0.0000195851
-0.0000145705,-0.0000140512,0.0000292152
0.0000043755,-0.0000092386,-0.0000142357
-0.0000502460,-0.0000272955,-0.0000401710
0.0000470211,0.0000306025,0.0000497181
0.0000364249,0.0000006905,0.0000070509
0.0000439720,-0.0000104854,-0.0000008070
0.0000442405,-0.0000060682,-0.0000246449
-0.0000122679,-0.0000008585,-0.0000080616
-0.0000191286,0.0000015475,0.0000041774
-0.0000759317,0.0000093179,-0.0001285815
0.0000924694,0.0000464800,0.0001356070
0.0000536240,0.0000793840,0.0000212958
0.0000335906,0.0000552149,0.0000280882
0.0000262890,0.0000605686,-0.0000582348
-0.0000223396,-0.0000133291,-0.0000057837
-0.0000099545,-0.0000154100,-0.0000143449
-0.0000339840,0.0000192023,0.0000564492
0.0000272164,-0.0000542612,-0.0000622575
-0.0000165261,-0.0000075539,-0.0000104207
-0.0000211409,-0.0000613751,-0.0000273771
-0.0000177170,-0.0000143380,0.0000250881
-0.0000055445,0.0000106083,-0.0000013075
-0.0000199767,0.0000171897,0.0000214970
0.0000305166,-0.0000508534,-0.0000525222
-0.0000330093,0.0000160830,0.0000439356
-0.0000634582,0.0000089505,0.0000403991
0.0000077249,-0.0000226978,0.0000034634
-0.0000172190,-0.0000146800,-0.0000195874
-0.0000145677,-0.0000140499,-0.0000292153
0.0000043758,-0.0000092399,0.0000142368
