X,Y,Z
0.0000036624 ,0.0000000000 ,0.0000000000 
0.0000081392 ,0.0000000000 ,0.0000000000 
0.0000081392 ,0.0000000000 ,0.0000000000 
0.0000055063 ,0.0000000000 ,0.0000000000 
0.0000055063 ,0.0000000000 ,0.0000000000 
0.0000229363 ,0.0000000000 ,-0.0000514271 
0.0000229363 ,0.0000000000 ,0.0000514271 
0.0000229363 ,0.0000000000 ,0.0000514271 
0.0000229363 ,0.0000000000 ,-0.0000514271 
0.0000140202 ,0.0000000000 ,-0.0000431859 
0.0000140202 ,0.0000000000 ,0.0000431859 
0.0000140202 ,0.0000000000 ,0.0000431859 
0.0000140202 ,0.0000000000 ,-0.0000431859 
-0.0000217505 ,0.0000000000 ,0.0000409465 
-0.0000217505 ,0.0000000000 ,-0.0000409465 
-0.0000217505 ,0.0000000000 ,-0.0000409465 
-0.0000217505 ,0.0000000000 ,0.0000409465 
-0.0000152234 ,0.0000000000 ,0.0000031192 
-0.0000152234 ,0.0000000000 ,-0.0000031192 
-0.0000152234 ,0.0000000000 ,-0.0000031192 
-0.0000152234 ,0.0000000000 ,0.0000031192 
-0.0000091317 ,0.0000000000 ,0.0000348299 
-0.0000091317 ,0.0000000000 ,-0.0000348299 
-0.0000091317 ,0.0000000000 ,-0.0000348299 
-0.0000091317 ,0.0000000000 ,0.0000348299 
0.0000010859 ,0.0000000000 ,0.0000000651 
0.0000010859 ,0.0000000000 ,-0.0000000651 
0.0000010859 ,0.0000000000 ,-0.0000000651 
0.0000010859 ,0.0000000000 ,0.0000000651 
0.0000004810 ,0.0000000000 ,0.0000002798 
0.0000004810 ,0.0000000000 ,-0.0000002798 
0.0000004810 ,0.0000000000 ,-0.0000002798 
0.0000004810 ,0.0000000000 ,0.0000002798 
-0.0000001409 ,0.0000000000 ,0.0000007061 
-0.0000001409 ,0.0000000000 ,-0.0000007061 
-0.0000001409 ,0.0000000000 ,0.0000007061 
-0.0000001409 ,0.0000000000 ,-0.0000007061 
