X,Y,Z
-1.00E-10,0.000311516,3.12E-04
-2.00E-10,-0.000128214,-1.28E-04
-2.00E-10,-0.000128214,-1.28E-04
2.00E-10,-4.66E-05,-4.66E-05
1E-10,-4.66E-05,-4.66E-05
-3.75625E-05,1.47E-05,1.47E-05
3.75628E-05,1.47E-05,1.47E-05
3.76E-05,1.47E-05,0.000014737
-3.76E-05,1.47E-05,1.47E-05
1.01E-06,2.64E-05,2.63552E-05
-1.01E-06,2.64E-05,2.64E-05
-1.01E-06,2.64E-05,2.64E-05
1.01E-06,2.64E-05,2.64E-05
-1.68E-07,-6.82E-06,-6.8202E-06
0.000000168,-6.82E-06,-6.82E-06
1.682E-07,-6.82E-06,-6.8202E-06
-1.68E-07,-6.82E-06,-6.8204E-06
4.08E-05,-2.06E-05,-2.06E-05
-4.08E-05,-2.06E-05,-2.06157E-05
-4.08E-05,-2.06E-05,-2.06155E-05
4.08E-05,-2.06E-05,-2.06E-05
2.30E-05,-5.84E-06,-5.84E-06
-2.30E-05,-5.84E-06,-5.8355E-06
-2.29566E-05,-5.84E-06,-5.8356E-06
2.30E-05,-5.84E-06,-5.84E-06
-0.000001434,1.36E-06,1.3634E-06
0.000001434,1.36E-06,1.3634E-06
1.4341E-06,1.36E-06,1.3634E-06
-1.4341E-06,1.36E-06,1.3634E-06
8.72E-07,-2.656E-07,-2.656E-07
-8.72E-07,-2.657E-07,-2.657E-07
-8.72E-07,-2.66E-07,-2.656E-07
8.72E-07,-2.657E-07,-2.657E-07
-2.92E-07,8.39E-08,8.39E-08
2.92E-07,0.000000084,0.000000084
-2.92E-07,8.39E-08,8.39E-08
2.92E-07,8.40E-08,0.000000084
