X,Y,Z
-1.00E-10,0.000309307,-2.00E-10
3.00E-10,-0.000138865,1.00E-10
-4.00E-10,-0.000138865,-3.00E-10
2.00E-10,-4.35E-05,2.00E-10
-1.00E-10,-4.35E-05,2.00E-10
-3.37E-05,1.59E-05,-1.00E-10
3.37E-05,1.59E-05,1.00E-10
3.37E-05,1.59E-05,1E-10
-3.37E-05,1.59E-05,1.00E-10
3.02E-06,2.60E-05,0.00E+00
-3.02E-06,2.60E-05,1.00E-10
-3.02E-06,2.60E-05,-2.00E-10
3.02E-06,2.60E-05,0.00E+00
-6.95E-07,-6.43E-06,0.00E+00
6.951E-07,-6.43E-06,-1.00E-10
6.95E-07,-6.43E-06,0.00E+00
-6.95E-07,-6.43E-06,0.00E+00
2.21E-05,-1.64E-05,-2.00E-10
-2.21E-05,-1.64E-05,0.00E+00
-2.21E-05,-1.64E-05,0.00E+00
2.21E-05,-1.64E-05,1.00E-10
1.85E-05,-7.15E-06,1.00E-10
-1.85E-05,-7.15E-06,0.00E+00
-1.85E-05,-7.15E-06,0.00E+00
1.85E-05,-7.15E-06,-1.00E-10
-1.4333E-06,1.40E-06,0.00E+00
1.4333E-06,1.40E-06,0.00E+00
1.43E-06,1.40E-06,0.00E+00
-1.43E-06,1.40E-06,0.00E+00
7.64E-07,-1.73E-07,0.00E+00
-7.64E-07,-1.73E-07,0.00E+00
-7.64E-07,-1.73E-07,0.00E+00
7.64E-07,-1.73E-07,0.00E+00
-3.95E-07,1.53E-07,0.00E+00
3.95E-07,1.525E-07,0
-3.95E-07,1.53E-07,0.00E+00
3.95E-07,1.53E-07,0
