X,Y,Z
0.00E+00,0.00E+00,3.00E-10
0.00E+00,-1.00E-10,-7.00E-10
0.00E+00,1.00E-10,2.00E-10
0.00E+00,0.00E+00,8.00E-10
1.00E-10,0.00E+00,-7.00E-10
0.00E+00,1.00E-10,-5.70E-05
0.00E+00,1.00E-10,5.70E-05
0.00E+00,-1.00E-10,5.70E-05
1.00E-10,-1.00E-10,-5.70E-05
-1.00E-10,-1.00E-10,-2.38E-05
0.00E+00,1.00E-10,2.38E-05
0.00E+00,0.00E+00,2.38E-05
0.00E+00,0.00E+00,-2.38E-05
0.00E+00,0.00E+00,-5.01E-05
-1.00E-10,0.00E+00,5.01E-05
1.00E-10,0.00E+00,5.01E-05
-1.00E-10,0.00E+00,-5.01E-05
0.00E+00,0.00E+00,-2.80E-05
0.00E+00,0.00E+00,2.80E-05
0.00E+00,0.00E+00,2.80E-05
0.00E+00,0.00E+00,-2.80E-05
1.00E-10,-1.00E-10,6.62E-05
0.00E+00,-1.00E-10,-6.62E-05
0.00E+00,1.00E-10,-6.62E-05
0.00E+00,1.00E-10,6.62E-05
0.00E+00,0.00E+00,1.08E-05
0.00E+00,0.00E+00,-1.08E-05
0.00E+00,0.00E+00,-1.08E-05
0.00E+00,0.00E+00,1.08E-05
0.00E+00,0.00E+00,-1.12E-05
0.00E+00,0.00E+00,1.12E-05
0.00E+00,0.00E+00,1.12E-05
0.00E+00,0.00E+00,-1.12E-05
0.00E+00,0.00E+00,-3.62E-06
0.00E+00,0,3.62E-06
0.00E+00,0.00E+00,-3.62E-06
0.00E+00,0.00E+00,3.62E-06
