X,Y,Z
0.00E+00,0.00E+00,2.00E-10
0.00E+00,0,-8.00E-10
0.00E+00,0,6.00E-10
0.00E+00,0.00E+00,1.60E-09
1.00E-10,1.00E-10,-1.70E-09
0.00E+00,0.00E+00,-6.12E-05
0.00E+00,0.00E+00,6.12E-05
0.00E+00,0.00E+00,6.12E-05
0.00E+00,0.00E+00,-6.12E-05
0.00E+00,0.00E+00,-3.35E-05
0.00E+00,0.00E+00,3.35E-05
0.00E+00,0.00E+00,3.35E-05
0.00E+00,0.00E+00,-3.35E-05
0.00E+00,0.00E+00,-6.56E-05
0.00E+00,0.00E+00,6.56E-05
0.00E+00,0.00E+00,6.56E-05
0.00E+00,0.00E+00,-6.56E-05
0.00E+00,0.00E+00,-3.99E-05
0.00E+00,0.00E+00,3.99E-05
0.00E+00,0.00E+00,3.99E-05
0.00E+00,0.00E+00,-3.99E-05
0.00E+00,0.00E+00,8.08E-05
0.00E+00,0.00E+00,-8.08E-05
0.00E+00,0.00E+00,-8.08E-05
0.00E+00,0.00E+00,8.08E-05
0.00E+00,0.00E+00,1.31E-05
0.00E+00,0.00E+00,-1.31E-05
0.00E+00,0.00E+00,-1.31E-05
0.00E+00,0.00E+00,1.31E-05
0.00E+00,0.00E+00,-6.94E-06
0.00E+00,0.00E+00,6.94E-06
0.00E+00,0.00E+00,6.94E-06
0.00E+00,0.00E+00,-6.94E-06
0.00E+00,0.00E+00,-4.37E-06
0.00E+00,0,4.37E-06
0.00E+00,0.00E+00,-4.37E-06
0.00E+00,0.00E+00,4.37E-06
