X,Y,Z
6.39E-05,0.00E+00,0.00E+00
-5.64E-05,-2.00E-10,-1.00E-10
-5.64E-05,2.00E-10,1.00E-10
2.03E-05,-5.00E-10,0.00E+00
2.03E-05,5.00E-10,0.00E+00
4.45E-06,1.01E-04,1.00E-10
4.45E-06,-1.01E-04,0.00E+00
4.45E-06,-1.01E-04,-1.00E-10
4.45E-06,1.01E-04,0.00E+00
-4.22E-05,1.57E-05,0.00E+00
-4.22E-05,-1.57E-05,0.00E+00
-4.22E-05,-1.57E-05,0.00E+00
-4.22E-05,1.57E-05,0.00E+00
1.28E-05,-3.86E-05,0.00E+00
1.28E-05,3.86E-05,0.00E+00
1.28E-05,3.86E-05,0.00E+00
1.28E-05,-3.86E-05,0.00E+00
-5.61E-06,-2.13E-05,0.00E+00
-5.61E-06,2.13E-05,0.00E+00
-5.61E-06,2.13E-05,0.00E+00
-5.61E-06,-2.13E-05,0.00E+00
3.27E-05,-5.94E-05,-1.00E-10
3.27E-05,5.94E-05,0.00E+00
3.27E-05,5.94E-05,1.00E-10
3.27E-05,-5.94E-05,0.00E+00
-2.05E-06,6.41E-07,0.00E+00
-2.05E-06,-6.41E-07,0.00E+00
-2.05E-06,-6.41E-07,0.00E+00
-2.05E-06,6.41E-07,0.00E+00
3.68E-07,1.49E-06,0.00E+00
3.68E-07,-1.49E-06,0.00E+00
3.68E-07,-1.49E-06,0.00E+00
3.68E-07,1.49E-06,0.00E+00
1.74E-06,-1.52E-06,0.00E+00
1.74E-06,1.5197E-06,0.00E+00
1.74E-06,-1.52E-06,0.00E+00
1.74E-06,1.52E-06,0.00E+00
