X,Y,Z
0.0000011838,-0.0000131257,-0.0001822244
1.0612825965,1.0567854231,0.0001937366
-1.0613166181,-1.0567763311,0.0000241364
-0.9617170122,0.9654870924,0.0001713372
0.9617482297,-0.9654815585,0.0001417773
-0.4563141696,0.0732496145,-0.0000403486
0.0728030069,-0.4515116578,0.0000123516
-0.0728139455,0.4515069478,0.0000107487
0.4563423562,-0.0732204969,0.0000256042
-0.4243733819,-0.0838367663,-0.0000187205
0.0838307934,0.4289200130,0.0000201844
-0.0838244751,-0.4289222702,0.0000519878
0.4243468859,0.0838659221,-0.0000487458
-0.0555257101,-0.1598332755,-0.0000868095
-0.1553704692,-0.0551042874,0.0000490485
0.1553869946,0.0551126497,0.0000172202
0.0555222010,0.1598151434,-0.0000960517
-0.0587932254,0.1502760297,-0.0001137450
-0.1542476751,0.0589960833,0.0000155052
0.1542349667,-0.0589906508,0.0000246806
0.0587979302,-0.1502883621,-0.0001087247
-0.0342167178,0.0187194297,0.0000332215
0.0188064568,-0.0341720351,-0.0001538031
-0.0188050004,0.0341772965,-0.0000668647
0.0342151417,-0.0187607028,0.0000549491
0.0085144518,-0.0127850151,0.0000060821
-0.0127186385,0.0085150261,-0.0000131436
0.0127184952,-0.0085146314,-0.0000010158
-0.0085144694,0.0127850754,0.0000094437
0.0080432284,0.0127810255,0.0000272975
-0.0128692326,-0.0080576766,0.0000089969
0.0128691995,0.0080576197,0.0000053312
-0.0080430564,-0.0127809990,0.0000271436
0.0053522745,0.0000403371,-0.0000005757
0.0000447025,-0.0053545490,0.0000008059
-0.0053523077,-0.0000410070,0.0000023335
