X,Y,Z
0.0000000562,0.0000085218,-0.0000117361
0.0302451636,-0.0303333022,0.0000690678
-0.0302381401,0.0303377808,-0.0000263497
0.0302078155,0.0303159435,0.0001361556
-0.0302153729,-0.0303119228,0.0000312942
-0.0120670521,-0.0093655279,0.0002714132
0.0093601337,0.0119333575,-0.0003144154
-0.0094219454,-0.0120658892,0.0005125452
0.0120565173,0.0093592772,0.0004738027
0.0118572055,-0.0085344271,0.0000079153
-0.0085703271,0.0118477909,0.0000654480
0.0086332129,-0.0119820003,0.0008805643
-0.0118524173,0.0085269022,-0.0001623179
0.0038333129,-0.0105590677,-0.0015819841
0.0105602504,-0.0038636138,0.0017878244
-0.0105627887,0.0038509343,0.0003192860
-0.0038402150,0.0105653081,-0.0001556358
-0.0039564626,-0.0102783229,-0.0000184115
-0.0102684552,-0.0039667541,-0.0001401585
0.0102735112,0.0039534189,-0.0015117997
0.0039628978,0.0102861379,0.0016105718
0.0002915271,-0.0022482556,0.0002213226
0.0022240874,-0.0000273857,-0.0009131753
-0.0022260219,0.0003065517,-0.0006183262
-0.0002870961,0.0022517025,-0.0009143531
0.0005324010,-0.0014933615,-0.0000127694
0.0014935701,-0.0005313908,0.0000378920
-0.0014946826,0.0005310203,0.0000369241
-0.0005317542,0.0014934766,-0.0000169725
-0.0005318610,-0.0014926842,0.0000126181
-0.0014934095,-0.0005337287,-0.0000228782
0.0014945445,0.0005332646,-0.0000558185
0.0005310406,0.0014929208,0.0000528885
-0.0000696820,0.0006859180,-0.0000007954
0.0006869270,-0.0000724614,-0.0000132160
0.0000704020,-0.0006860310,-0.0000157817
