X,Y,Z
-0.0000001048,-0.0000005024,0.0000031206
0.0302514100,-0.0303517543,-0.0000220085
-0.0302513592,0.0303520031,0.0000176265
0.0302568229,0.0303572052,0.0000169784
-0.0302566590,-0.0303570888,-0.0000152628
-0.0119952975,-0.0090392292,-0.0000021077
0.0090624945,0.0119897710,-0.0000054108
-0.0090627844,-0.0119899744,0.0000035595
0.0119954032,0.0090392850,0.0000045226
0.0119946091,-0.0090445800,-0.0000042316
-0.0090678626,0.0119890584,-0.0000028022
0.0090678291,-0.0119890331,0.0000051008
-0.0119947060,0.0090445436,0.0000009337
0.0040054243,-0.0103288988,0.0000027660
0.0103253395,-0.0040123228,-0.0000018291
-0.0103253473,0.0040124725,0.0000015923
-0.0040053535,0.0103288194,-0.0000020560
-0.0040077535,-0.0103289841,0.0000016952
-0.0103255949,-0.0040148374,-0.0000012836
0.0103256963,0.0040148255,0.0000011702
0.0040077876,0.0103291783,-0.0000022537
0.0000000716,-0.0024210684,-0.0000041625
0.0024196597,-0.0000002161,-0.0000002554
-0.0024194682,0.0000001945,0.0000001204
-0.0000002420,0.0024210925,0.0000043608
0.0005334630,-0.0015073955,0.0000011043
0.0015089255,-0.0005341759,0.0000018919
-0.0015089142,0.0005341883,-0.0000021929
-0.0005334534,0.0015073885,-0.0000010356
-0.0005336807,-0.0015080825,0.0000007609
-0.0015096009,-0.0005344150,0.0000017599
0.0015096217,0.0005344240,-0.0000014351
0.0005336927,0.0015081321,-0.0000010851
-0.0000001281,0.0006951501,0.0000001584
0.0006950220,-0.0000000766,0.0000000829
0.0000000871,-0.0006951593,0.0000000189
