X,Y,Z
0.0017736655,-0.0005607237,0.0000780317
0.0555300960,-0.0347789873,6.0241002803
-0.0533418212,0.0386483770,-6.0241521815
0.0145300204,0.0292122729,-2.4265086928
-0.0140320613,-0.0338946196,2.4264193442
-0.0483514001,0.0027230538,-3.2027212254
-0.0075117867,0.0372843838,-1.5843596812
0.0018577141,-0.0406084284,1.5843341434
0.0471003781,-0.0038856112,3.2027696132
0.0285553348,-0.0001648852,-2.9828769568
-0.0006279512,0.0375132191,1.0496230721
-0.0028099483,-0.0346174171,-1.0496571124
-0.0295453687,0.0005719930,2.9828673554
-0.0066445825,-0.0410584225,-0.1352390797
0.0416296126,0.0041195743,0.1218613841
-0.0391876750,-0.0055485602,-0.1218932729
0.0049698865,0.0425029568,0.1352469299
-0.0010340805,-0.0239823176,-0.3181112359
-0.0265335459,0.0004439310,0.3136947137
0.0271780074,0.0004362987,-0.3137055391
0.0006129416,0.0240147080,0.3181058840
-0.0013746793,0.0001917766,-0.7826361864
0.0043070418,0.0012040462,-0.3326214795
0.0006066467,-0.0005209243,0.3326974663
0.0018815210,0.0003976577,0.7826838752
-0.0005016467,0.0003327961,0.8483982097
0.0011431861,-0.0003808773,0.6765636380
-0.0004852587,0.0000085950,-0.6765688475
0.0000910524,0.0003398573,-0.8484118439
-0.0001363490,-0.0008468113,0.5227413928
-0.0010795987,-0.0003087619,0.0934437173
0.0012771827,0.0004141146,-0.0934469111
0.0001345861,0.0007881485,-0.5227507156
-0.0000455738,0.0006907994,-0.0061751549
0.0007041615,-0.0001061941,0.0023834692
0.0000246326,-0.0006642097,0.0061762988
