 Calculate D1:
     imode          Freq(cm-1)             D(a.u.)          Huang_Rhys  Reog. Energy(cm-1)
        14         268.9000000         -20.0339500           0.2458723          66.1150686
         6         203.5500000         -13.4535400           0.0839325          17.0844515
         9         218.6900000         -10.9829200           0.0600966          13.1425357
        22         433.0600000         -10.8112200           0.1153143          49.9380098
        21         425.4100000          -5.0236700           0.0244588          10.4050285
        78        1440.9000000           4.1920100           0.0576852          83.1185542
        89        1644.1600000          -4.1822600           0.0655167         107.7198873
        35         758.5600000           4.1192500           0.0293232          22.2434349
        93        1726.1400000          -4.1060900           0.0663008         114.4444244
        86        1579.8100000          -3.8655800           0.0537799          84.9619997
        76        1400.1900000           3.7671700           0.0452692          63.3855201
        65        1094.1700000           3.7054000           0.0342248          37.4477284
        77        1429.0900000           3.2545000           0.0344837          49.2803053
        57        1042.4700000          -3.1002100           0.0228261          23.7955109
        61        1066.0100000          -2.9706200           0.0214309          22.8455930
        44         819.4700000          -2.8895300           0.0155874          12.7733911
        45         834.5600000          -2.8887100           0.0158654          13.2406315
        64        1074.5300000          -2.8490700           0.0198706          21.3515303
        69        1219.3100000           2.2981700           0.0146711          17.8886782
        58        1051.3600000           2.2239000           0.0118459          12.4542932
        92        1673.7600000           1.9420300           0.0143811          24.0704337
        66        1179.6300000           1.7624500           0.0083477           9.8471580
        79        1445.9300000           1.6806500           0.0093044          13.4534842
        12         261.0200000          -1.1043600           0.0007252           0.1893017
        10         228.2100000          -0.9125900           0.0004330           0.0988113
        54        1017.1500000           0.9062100           0.0019030           1.9355901
        75        1377.6800000          -0.7869600           0.0019437           2.6778590
        84        1532.6300000           0.7734500           0.0020888           3.2012885
        34         744.8200000           0.7318200           0.0009088           0.6768569
        11         242.2000000           0.6372300           0.0002241           0.0542658
        85        1566.2400000           0.5438800           0.0010555           1.6531356
        98        3257.6600000          -0.4762600           0.0016834           5.4838479
        13         261.3700000          -0.4482900           0.0001197           0.0312763
        95        3230.7700000          -0.3988700           0.0011710           3.7832105
         7         216.7700000           0.1946100           0.0000187           0.0040543
        15         290.7000000           0.1697200           0.0000191           0.0055455
         4         150.2000000          -0.1568800           0.0000084           0.0012649
